Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size
31-Dec-16,County,AL Alabama,AL Baldwin County 01003,9,811/PRAC,9,NA,003 Baldwin County,01003,31,91,32,100,7,25,1.0,32,251,238,10646,10646,-1,63,25,13,-1,3,-1,97,25,100,78,-1,-1,44,-1,100,100,100,-1,47,34,19,-1,22,22,-1,-1,78,-1,-1,-1,0,0,-1,75,100,56,100,-1,-1,-1,21,24,74,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Barbour County 01005,9,Summary of All HUD Programs,1,NA,005 Barbour County,01005,938,89,834,100,5,20,2.3,1901,268,400,12539,5501,11,36,23,14,15,34,1,64,33,83,56,3,50,86,51,23,29,12,10,53,16,22,2,88,87,-1,-1,12,0,1,-1,1,1,13,76,100,131,24,36,40,25,27,58,64,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Barbour County 01005,9,Public Housing,2,NA,005 Barbour County,01005,417,96,397,99,6,17,2.6,1027,262,347,13265,5128,7,39,23,13,18,41,1,56,34,81,57,3,56,84,57,18,33,9,9,60,15,17,1,96,95,-1,-1,4,0,1,-1,1,1,10,91,100,110,17,33,49,21,27,59,65,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Barbour County 01005,9,Housing Choice Vouchers,3,NA,005 Barbour County,01005,363,79,282,99,5,21,2.1,584,312,404,13552,6544,5,35,26,18,16,32,-1,68,36,82,49,2,46,90,48,34,28,17,4,52,20,24,2,84,83,-1,-1,16,-1,1,-1,1,2,16,68,100,171,13,43,44,43,25,54,63,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Barbour County 01005,9,Project Based Section 8,5,NA,005 Barbour County,01005,158,95,155,100,5,25,1.9,290,202,531,8836,4723,32,31,18,13,5,21,1,75,25,90,66,3,41,83,43,18,27,13,23,35,14,29,3,74,72,-1,-1,26,1,1,-1,2,0,-1,54,100,110,59,31,10,3,30,63,64,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Bibb County 01007,9,Summary of All HUD Programs,1,NA,007 Bibb County,01007,118,97,114,99,6,14,2.0,231,276,325,14217,7016,7,44,21,14,14,19,-1,81,28,90,73,6,28,80,32,43,31,23,4,38,13,45,3,75,75,-1,-1,25,-1,1,-1,1,0,2,80,100,65,46,23,32,14,18,44,70,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Bibb County 01007,9,Public Housing,2,NA,007 Bibb County,01007,69,99,68,100,6,13,2.6,179,288,333,16152,6136,12,38,15,12,24,32,-1,68,29,84,69,9,47,88,53,37,82,23,7,63,13,16,1,94,94,-1,-1,6,-1,-1,-1,0,0,2,90,100,45,15,32,53,24,18,44,70,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Bibb County 01007,9,Project Based Section 8,5,NA,007 Bibb County,01007,49,95,46,99,6,15,1.1,52,260,313,11356,10046,-1,52,30,17,-1,-1,-1,100,25,100,78,2,-1,67,-1,100,18,25,-1,-1,13,87,4,48,46,-1,-1,52,-1,2,-1,2,0,-1,65,100,94,91,9,-1,-1,18,43,70,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Blount County 01009,9,Summary of All HUD Programs,1,NA,009 Blount County,01009,457,97,446,100,6,16,1.4,618,274,343,12629,9114,1,42,32,15,9,9,0,90,27,96,71,1,15,80,14,65,34,36,2,20,23,55,4,5,4,1,0,95,-1,0,-1,0,0,6,77,98,140,46,39,15,36,21,16,72,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Blount County 01009,9,Public Housing,2,NA,009 Blount County,01009,283,98,278,100,6,15,1.6,431,272,312,13013,8394,2,41,30,15,12,13,1,85,27,94,71,2,21,79,19,55,32,30,3,27,22,47,3,5,3,1,0,95,-1,0,-1,0,0,7,81,99,158,42,38,20,33,22,16,73,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Blount County 01009,9,Housing Choice Vouchers,3,NA,009 Blount County,01009,82,94,79,100,5,13,1.2,96,304,418,12822,10551,-1,39,33,22,6,4,-1,96,28,100,63,-1,9,92,9,83,30,39,1,8,20,71,10,8,8,-1,-1,92,-1,-1,-1,0,1,5,80,100,124,6,78,15,81,23,13,72,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Blount County 01009,9,Project Based Section 8,5,NA,009 Blount County,01009,92,97,89,100,6,21,1.0,91,253,372,11259,11011,-1,48,38,11,2,-1,-1,100,25,99,79,-1,-1,71,-1,100,44,65,-1,9,27,64,4,3,3,-1,-1,97,-1,-1,-1,0,0,-1,59,90,98,93,7,-1,4,19,17,72,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Bullock County 01011,9,Summary of All HUD Programs,1,NA,011 Bullock County,01011,424,91,383,100,6,21,2.4,936,248,401,12616,5162,20,32,17,16,16,35,3,61,32,84,56,3,58,89,59,25,41,13,11,59,17,13,1,97,97,-1,0,3,-1,-1,-1,0,0,5,73,100,108,16,34,50,27,19,81,57,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Bullock County 01011,9,Public Housing,2,NA,011 Bullock County,01011,247,96,233,99,6,20,2.4,570,246,363,13313,5442,18,33,15,14,20,38,4,55,34,79,56,2,58,87,59,22,34,12,12,56,16,15,1,99,98,-1,0,1,-1,-1,-1,0,0,3,83,100,103,21,35,44,19,20,81,57,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Bullock County 01011,9,Housing Choice Vouchers,3,NA,011 Bullock County,01011,176,84,149,100,6,23,2.4,363,253,461,11591,4758,22,30,20,19,9,29,1,70,29,91,56,4,57,93,60,30,57,14,10,62,18,9,1,95,95,-1,-1,5,-1,-1,-1,0,1,7,57,100,115,9,34,58,40,19,82,56,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Bullock County 01011,9,Project Based Section 8,5,NA,011 Bullock County,01011,1,-4,1,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Butler County 01013,9,Summary of All HUD Programs,1,NA,013 Butler County,01013,508,93,461,98,3,15,2.0,922,279,219,13854,6927,7,36,23,18,17,38,1,59,37,79,50,3,40,82,41,29,39,17,11,45,16,27,2,83,83,-1,-1,17,0,-1,-1,0,0,7,77,94,153,29,42,29,28,30,58,61,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Butler County 01013,9,Public Housing,2,NA,013 Butler County,01013,100,100,100,100,6,18,2.2,221,231,344,14141,6399,13,27,17,18,25,48,1,44,37,73,49,2,54,83,53,22,44,13,12,58,12,18,1,88,88,-1,-1,12,-1,-1,-1,0,0,8,74,100,170,25,35,40,20,34,58,51,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Butler County 01013,9,Housing Choice Vouchers,3,NA,013 Butler County,01013,181,82,138,93,5,19,2.0,282,264,385,11138,5451,8,45,28,12,7,29,3,68,30,91,62,2,44,87,44,32,32,17,12,42,21,25,3,80,80,-1,-1,20,1,-1,-1,1,0,5,59,100,147,26,54,20,27,28,57,64,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Butler County 01013,9,Project Based Section 8,5,NA,013 Butler County,01013,227,98,223,100,2,12,1.9,419,310,51,15406,8200,4,34,22,21,19,39,-1,60,42,74,43,4,30,79,33,30,41,20,11,42,16,32,3,83,83,-1,-1,17,-1,-1,-1,0,0,-1,90,88,150,33,37,30,31,30,58,63,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Calhoun County 01015,9,Summary of All HUD Programs,1,NA,015 Calhoun County,01015,2321,86,1999,100,4,15,2.0,3984,242,463,10779,5408,20,33,23,14,11,24,6,63,29,87,59,2,41,86,42,28,32,16,11,44,17,28,3,63,62,0,0,37,0,1,0,1,1,6,73,85,137,35,35,30,21,36,47,65,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Calhoun County 01015,9,Public Housing,2,NA,015 Calhoun County,01015,1191,90,1075,100,3,15,2.2,2334,198,467,9178,4227,30,33,18,9,10,27,9,54,24,90,72,3,50,86,51,24,48,13,17,51,20,13,1,71,70,0,0,29,0,1,0,1,0,5,73,100,122,22,39,39,26,41,51,64,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Calhoun County 01015,9,Housing Choice Vouchers,3,NA,015 Calhoun County,01015,571,65,358,97,5,15,2.3,809,315,423,12747,5641,11,34,23,16,15,32,2,63,33,84,53,2,52,94,53,32,58,19,5,60,14,22,1,82,80,-1,1,18,-1,1,-1,1,1,9,82,100,181,17,46,37,33,30,39,67,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Calhoun County 01015,9,Project Based Section 8,5,NA,015 Calhoun County,01015,466,97,473,100,6,18,1.6,745,275,522,12371,7855,8,34,30,18,11,16,5,78,35,84,44,1,23,82,24,41,25,22,6,27,15,52,6,40,39,-1,-1,59,0,0,-1,0,1,-1,68,55,140,66,24,11,7,31,44,65,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Calhoun County 01015,9,202/PRAC,8,NA,015 Calhoun County,01015,93,99,93,100,6,10,1.0,96,298,291,13607,13181,-1,24,39,32,5,1,-1,99,41,76,23,-1,-1,78,-1,-1,4,4,-1,-1,-1,100,12,14,11,1,1,85,-1,-1,1,1,1,-1,65,1,54,100,-1,-1,-1,30,44,66,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Chambers County 01017,9,Summary of All HUD Programs,1,NA,017 Chambers County,01017,528,104,547,100,5,21,2.2,1225,252,473,12515,5588,20,29,24,14,14,29,12,58,33,85,55,1,47,84,48,26,29,13,12,43,17,28,3,85,84,-1,-1,15,0,-1,-1,0,0,6,64,91,97,29,27,45,24,27,49,70,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Chambers County 01017,9,Public Housing,2,NA,017 Chambers County,01017,410,92,377,100,6,26,2.3,879,224,431,11474,4921,24,31,20,12,12,33,18,49,30,87,62,1,54,86,55,22,39,12,17,44,19,21,1,91,91,-1,-1,9,0,-1,-1,0,0,2,78,100,82,23,30,47,24,30,51,69,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Chambers County 01017,9,Housing Choice Vouchers,3,NA,017 Chambers County,01017,68,183,120,97,4,6,2.5,296,324,559,15444,6261,15,25,25,13,23,30,-1,68,39,78,48,3,47,79,48,36,57,20,3,60,18,19,2,98,98,-1,-1,2,1,-1,-1,1,0,42,21,100,144,18,28,54,34,23,56,69,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Chambers County 01017,9,Project Based Section 8,5,NA,017 Chambers County,01017,50,95,50,100,6,24,1.0,50,288,580,13339,13339,-1,22,48,24,6,2,-1,98,41,88,22,-1,-1,78,-1,-1,-1,0,-1,-1,-1,100,22,2,2,-1,-1,98,-1,-1,-1,0,0,-1,61,-1,-1,100,-1,-1,-1,16,20,87,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Cherokee County 01019,9,Summary of All HUD Programs,1,NA,019 Cherokee County,01019,211,99,211,100,6,23,1.8,371,265,355,12822,7293,0,46,28,13,12,21,0,79,35,87,55,4,26,73,24,46,28,24,7,31,18,45,5,15,13,-1,0,85,-1,1,-1,1,0,3,59,100,103,46,39,15,20,17,10,69,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Cherokee County 01019,9,Public Housing,2,NA,019 Cherokee County,01019,160,100,160,100,6,21,2.0,315,267,300,13298,6754,1,43,29,13,15,28,1,72,35,85,55,6,33,73,31,44,43,25,9,40,22,29,2,16,14,-1,-1,84,-1,1,-1,1,0,3,62,100,112,29,51,20,27,17,10,68,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Cherokee County 01019,9,Project Based Section 8,5,NA,019 Cherokee County,01019,51,94,51,100,7,29,1.1,56,258,537,11332,10320,-1,55,27,16,2,-1,-1,100,33,92,55,-1,2,76,2,100,13,18,-1,4,4,92,14,12,10,-1,2,88,-1,-1,-1,0,0,-1,52,100,75,98,2,-1,-1,16,9,73,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Chilton County 01021,9,Summary of All HUD Programs,1,NA,021 Chilton County,01021,190,99,187,100,6,17,2.0,374,252,331,12669,6334,13,37,26,10,15,28,1,71,30,89,65,3,37,79,39,42,39,23,7,43,29,20,1,57,57,-1,-1,43,-1,1,-1,1,0,6,60,95,117,45,25,30,12,21,26,72,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Chilton County 01021,9,Public Housing,2,NA,021 Chilton County,01021,178,99,176,100,6,16,2.0,360,252,327,12845,6280,14,35,26,10,15,30,1,70,30,88,65,3,39,80,41,39,35,21,8,45,28,19,1,58,57,-1,-1,42,-1,1,-1,1,0,6,62,99,117,42,26,32,13,21,26,73,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Chilton County 01021,9,Housing Choice Vouchers,3,NA,021 Chilton County,01021,2,-4,2,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Chilton County 01021,9,Project Based Section 8,5,NA,021 Chilton County,01021,10,-4,9,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Choctaw County 01023,9,Summary of All HUD Programs,1,NA,023 Choctaw County,01023,2,-4,2,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Choctaw County 01023,9,Project Based Section 8,5,NA,023 Choctaw County,01023,2,-4,2,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Clarke County 01025,9,Summary of All HUD Programs,1,NA,025 Clarke County,01025,102,96,97,99,6,13,2.3,219,181,583,8042,3562,31,41,21,6,1,23,4,73,21,100,78,-1,62,88,60,23,57,11,16,64,12,7,-1,94,93,-1,-1,4,-1,-1,1,1,0,-1,69,94,177,35,43,22,9,22,47,69,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Clarke County 01025,9,Housing Choice Vouchers,3,NA,025 Clarke County,01025,2,-4,6,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Clarke County 01025,9,Project Based Section 8,5,NA,025 Clarke County,01025,92,93,85,99,6,15,2.3,199,171,653,7692,3285,35,40,18,6,1,25,5,71,20,100,81,-1,67,91,65,14,50,7,19,64,11,7,-1,98,96,-1,-1,1,-1,-1,1,1,0,-1,63,100,180,33,46,21,7,21,47,69,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Clarke County 01025,9,811/PRAC,9,NA,025 Clarke County,01025,8,-4,6,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Clay County 01027,9,Summary of All HUD Programs,1,NA,027 Clay County,01027,395,96,379,100,6,20,1.9,725,268,350,15379,8040,6,32,25,14,23,35,1,64,42,73,41,4,33,76,35,30,37,18,8,40,21,31,4,46,36,-1,-1,54,1,9,0,11,1,9,86,100,97,33,36,31,25,21,25,60,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Clay County 01027,9,Public Housing,2,NA,027 Clay County,01027,344,96,330,100,6,21,2.0,658,270,338,15743,7895,7,32,22,14,25,38,1,61,42,71,42,5,35,75,38,27,34,16,9,43,19,29,4,51,40,-1,-1,49,1,10,-1,11,1,9,87,100,94,35,31,35,22,20,26,60,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Clay County 01027,9,Housing Choice Vouchers,3,NA,027 Clay County,01027,11,-4,9,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Clay County 01027,9,Project Based Section 8,5,NA,027 Clay County,01027,40,99,40,100,6,15,1.3,52,232,468,12429,9561,-1,35,43,18,5,15,-1,85,36,85,38,3,10,80,10,55,55,44,3,18,30,50,3,8,-1,-1,-1,93,-1,5,3,8,0,-1,75,100,105,25,75,-1,48,25,17,60,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Cleburne County 01029,9,Summary of All HUD Programs,1,NA,029 Cleburne County,01029,118,95,115,100,6,32,1.8,210,225,479,9995,5474,8,49,28,11,4,15,-1,78,27,96,66,3,29,81,30,53,34,28,8,34,25,33,3,17,13,-1,1,83,1,1,1,3,1,5,61,100,118,47,26,27,15,23,12,59,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Cleburne County 01029,9,Public Housing,2,NA,029 Cleburne County,01029,33,100,33,100,5,42,2.1,70,242,340,11304,5329,10,42,26,16,6,21,-1,73,30,91,58,-1,42,79,39,40,23,21,15,27,18,39,6,18,12,-1,-1,82,3,3,-1,6,0,3,58,100,125,18,45,36,21,23,12,59,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Cleburne County 01029,9,Housing Choice Vouchers,3,NA,029 Cleburne County,01029,21,81,17,100,6,18,1.9,33,236,312,10697,5511,-1,41,53,6,-1,24,-1,76,29,100,59,-1,29,88,29,67,40,30,-1,47,24,29,-1,35,35,-1,-1,65,-1,-1,-1,0,0,13,83,100,125,29,41,29,35,23,12,59,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Cleburne County 01029,9,Project Based Section 8,5,NA,029 Cleburne County,01029,64,97,65,100,5,31,1.6,107,213,599,9148,5557,10,54,22,10,3,9,-1,82,26,97,72,5,22,80,26,56,40,32,6,34,29,31,3,11,8,-1,2,88,-1,-1,2,2,2,-1,57,100,112,66,12,22,6,23,12,59,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Coffee County 01031,9,Summary of All HUD Programs,1,NA,031 Coffee County,01031,818,93,750,99,5,27,2.1,1596,262,418,12444,5848,15,31,24,15,15,34,2,59,25,94,70,4,43,82,45,29,29,15,12,46,17,24,2,68,64,-1,0,32,-1,3,-1,3,0,4,62,95,140,25,38,37,28,26,40,66,NA,NA,NA,NA,NA,AL,NA,NA
31-Dec-16,County,AL Alabama,AL Coffee County 01031,9,Public Housing,2,NA,031 Coffee County,01031,334,95,318,100,5,22,2.1,674,266,348,13998,6605,17,29,23,11,21,31,5,62,28,87,66,7,35,80,38,34,33,18,9,43,20,27,2,68,64,-1,1,32,-1,3,-1,3,1,4,78,100,137,25,32,42,31,26,38,70,NA,NA,NA,NA,NA,AL,NA,NA
